"id","name","address","city","state","zip_code","phone_number","website","rating","hourly_rate","image","lat","lng","map"
15,"Bravo Ocean Studios","1040 Boulevard SE","Atlanta","GA","30312","(404) 747-5257","http://www.bravooceanstudios.com","5.0","$50-$85/hr","https://lh5.googleusercontent.com/p/AF1QipPdAPKWjcyeAzrCwzryC69UiZ4lgq1bxjQw9-J_=w180-h180-n-k-no",33.726133,84.367845," https://batchgeo.com/map/b39cd0dd4f717f4fe078df973eab3ea8"
4,"Deaf Star Recording Studios","741 Lambert Dr NE","Atlanta","GA","30324","(213) 663-3709","Call for more info","4.7",,"https://s3-media0.fl.yelpcdn.com/bphoto/WmFQtTF7BfKcgsZ52qMgXA/ls.jpg",33.812699,84.363983,"https://batchgeo.com/map/83816f362e2b8acadec1c3748611bf3a"
11,"SoundXtreem Studios","1413 Woodmont Ln NW","Atlanta","GA","30318","(404) 663-2796","http://www.soundxtreem.com","5.0","$50-$65/hr","https://static.wixstatic.com/media/fa23b05d2dc14f038d1d647ecc2909d8.jpg/v1/fill/w_620,h_380,al_c,q_80,usm_0.66_1.00_0.01/Hands%20using%20recording%20control%20panel.webp",33.803994,84.433758,"https://batchgeo.com/map/39d2fcadd49b72a1435461abeae8ee91"
1,"Atlanta Rockstar Rehearsals","1170 Sylvan Rd SW","Atlanta","GA","30310","(770) 296-5530","http://www.atlrockstar.com","4.8","$30-$35/hr","https://atlrockstar.com/wp-content/uploads/2014/12/ARR-logo1.jpg",33.723027,84.417684,"https://batchgeo.com/map/7a049fc81a999fa9b20c4830e9cc828b"
19,"Unlimited Music","62 Peachtree St","Atlanta","GA","30303","(214) 901-3428","http://www.unlimitedmusic.com","5.0",,,33.755428,84.389175,"https://batchgeo.com/map/b43dd431c0d550e8000f69350399366d"
26,"Tree Sound Studios","4610 Peachtree Industrial Blvd","Norcross","GA","30071","(770) 242-8944","https://treesoundstudios.com/","4.8",,"https://treesoundstudios.com/wp-content/uploads/2015/01/Untitled-3.png",33.971914,84.185121,"https://batchgeo.com/map/e883da6550798a4be6b44f684f4a16f0"
5,"Patchwerk Recording Studios","1094 Hemphill Ave NW","Atlanta ","GA","30318","(404) 874-9880","http://www.patchwerk.com","4.7","$30-$250/hr","https://patchwerk.com/templates/patchwerk/custom/images/pwr_logo_100.png",33.78486,84.406465,"https://batchgeo.com/map/11699ad9917762c88b39cab2171c8244"
12,"Castle Hill Studios","159 Walker St NW ","Atlanta","GA","30313","(404) 500-4633","https://www.castlehillstudio.com","4.5",,"https://lh5.googleusercontent.com/p/AF1QipMwLO2nyD2r97lb2hQAGQVZ-1BzQR8ihKQHUtI2=w180-h180-n-k-no",33.750523,84.401,"https://batchgeo.com/map/0b026652525134d56f3783d29177ff4a"
17,"Wonderland Recording Studio","3556 Piedmont Rd NE #301","Atlanta","GA","30305","(251) 610-0016","http://www.wonderlandrecording.com","5.0","$65/hr","https://lh5.googleusercontent.com/p/AF1QipOH2MI71YQkJw0pVJIYU2WgRNyV3jlw0PygNyiy=w180-h180-n-k-no",33.851277,84.379411,"https://batchgeo.com/map/3a692884b8abadd5bbe7c1d9bfbb7d77"
22,"Tighten Up Rehearsal Studio","2814 Norman Berry Dr","East Pont","GA","30344","(404) 909-2054","http://tightenupatl.studio","4.6","$440+/month ","http://tightenupatl.studio/website/wp-content/uploads/2016/09/Q4A9502-1200x607.jpg",33.678203,84.426866,"https://batchgeo.com/map/9c7d79f2253d2d0b846fdf85b06dbffc"
24,"Billboard Studios","1401 Ellsworth Industrial Blvd NW","Atlanta","GA","30318","(678) 923-8395","http://www.billboardstudiosatlanta.com","4.8",,"https://lh5.googleusercontent.com/p/AF1QipOsaqmRq534NqJs3EJA5Ee_2-46Z5ciXhCFaLRt=w180-h180-n-k-no",33.793056,84.426598,"https://batchgeo.com/map/b3e835819b649f501a912c5606d15073"
8,"Soul Asylum Studios Atlanta Laboratory","1676 Defoor Cir NW","Atlanta","GA","30318","(404) 991-7081","http://www.soulasylumstudios.com","4.7","$50-$200/hr","https://lh5.googleusercontent.com/p/AF1QipObfi6p6UO4LvwFl0G4sX_ecAZsWJ7niuNn84Dg=w180-h180-n-k-no",33.801068,84.420331," https://batchgeo.com/map/46e4830c67a4777b718f64776350e114"
6,"Sound and Stone Studios","433 Bishop St NW","Atlanta","GA","30318","(404) 330-8696","http://soundandstonestudios.com","5.0","$40-$70/hr","https://scontent-atl3-2.xx.fbcdn.net/v/t1.0-9/11693959_779194042179823_3043979367503754452_n.jpg?_nc_cat=108&ccb=2&_nc_sid=6e5ad9&_nc_ohc=naKVL_KxuCsAX-xWVAu&_nc_ht=scontent-atl3-2.xx&oh=43a192a7a617e33bf332bd3a353ea592&oe=5FD490BC",33.793281,84.402614,"https://batchgeo.com/map/19c916bfd7755b07de809f818df81d80"
